NO,Nilai,Kurs Jual,Kurs Beli,Tanggal,kurs_tengah,log_return
993,1,15055.91,14906.1,2022-07-11,14981.005000000001,-0.0003333666508387214
992,1,15043.84,14894.16,2022-07-12,14969.0,-0.0008016693581815307
991,1,15067.97,14918.03,2022-07-13,14993.0,0.0016020295796673166
990,1,15059.92,14910.08,2022-07-14,14985.0,-0.0005337247441395739
989,1,15074.0,14924.0,2022-07-15,14999.0,0.0009338314445958976
988,1,15074.0,14924.0,2022-07-18,14999.0,0.0
987,1,15060.93,14911.07,2022-07-19,14986.0,-0.0008671002711034801
986,1,15066.96,14917.04,2022-07-20,14992.0,0.0004002935539473127
985,1,15058.92,14909.08,2022-07-21,14984.0,-0.0005337603542789638
984,1,15092.08,14941.92,2022-07-22,15017.0,0.002199927556356212
983,1,15099.12,14948.88,2022-07-25,15024.0,0.00046602976776335167
982,1,15066.96,14917.04,2022-07-26,14992.0,-0.002132196969840711
981,1,15058.92,14909.08,2022-07-27,14984.0,-0.0005337603542789638
980,1,15095.1,14944.9,2022-07-28,15020.0,0.0023996811942012222
979,1,15032.79,14883.21,2022-07-29,14958.0,-0.0041363725665128515
978,1,14934.3,14785.7,2022-08-01,14860.0,-0.0065732344798627275
977,1,14948.37,14799.63,2022-08-02,14874.0,0.0009416829914952847
976,1,14962.44,14813.56,2022-08-03,14888.0,0.0009407970588412273
975,1,14991.58,14842.42,2022-08-04,14917.0,0.0019459828318438308
974,1,15003.65,14854.35,2022-08-05,14929.0,0.0008041278996596365
973,1,14978.52,14829.48,2022-08-08,14904.0,-0.0016759967721657791
972,1,14989.58,14840.42,2022-08-09,14915.0,0.0007377846674243997
971,1,14936.31,14787.69,2022-08-10,14862.0,-0.003559798231434327
970,1,14949.38,14800.63,2022-08-11,14875.005,0.0008746678308131087
969,1,14873.0,14725.0,2022-08-12,14799.0,-0.005122676646379803
968,1,14761.44,14614.56,2022-08-15,14688.0,-0.0075287770415761865
